,Date,Hour,Temp,SMP,Is_Holiday,Is_Vac,Is_Weekend,Is_Cold,Is_HW
268,2019-07-06,14:00:00,29.81,196.81,0,1,1,0,0
269,2019-07-06,14:30:00,29.56,196.81,0,1,1,0,0
270,2019-07-06,15:00:00,29.26,196.81,0,1,1,0,0
271,2019-07-06,15:30:00,29.07,196.81,0,1,1,0,0
272,2019-07-06,16:00:00,28.76,204.69,0,1,1,0,0
273,2019-07-06,16:30:00,28.44,196.81,0,1,1,0,0
274,2019-07-06,17:00:00,28.11,196.81,0,1,1,0,0
275,2019-07-06,17:30:00,27.61,196.81,0,1,1,0,0
276,2019-07-06,18:00:00,26.99,196.81,0,1,1,0,0
277,2019-07-06,18:30:00,26.26,196.81,0,1,1,0,0
278,2019-07-06,19:00:00,25.64,196.81,0,1,1,0,0
279,2019-07-06,19:30:00,25.21,196.81,0,1,1,0,0
280,2019-07-06,20:00:00,25.09,145.01,0,1,1,0,0
281,2019-07-06,20:30:00,25.03,197.2,0,1,1,0,0
282,2019-07-06,21:00:00,24.91,197.2,0,1,1,0,0
283,2019-07-06,21:30:00,24.9,196.81,0,1,1,0,0
284,2019-07-06,22:00:00,24.87,192.31,0,1,1,0,0
285,2019-07-06,22:30:00,24.66,192.31,0,1,1,0,0
286,2019-07-06,23:00:00,24.51,196.81,0,1,1,0,0
287,2019-07-06,23:30:00,24.39,196.81,0,1,1,0,0
288,2019-07-07,00:00:00,24.26,196.81,0,1,0,0,0
289,2019-07-07,00:30:00,24.14,192.31,0,1,0,0,0
290,2019-07-07,01:00:00,23.86,192.31,0,1,0,0,0
291,2019-07-07,01:30:00,23.37,129.02,0,1,0,0,0
292,2019-07-07,02:00:00,23.23,128.55,0,1,0,0,0
293,2019-07-07,02:30:00,23.04,130.1,0,1,0,0,0
294,2019-07-07,03:00:00,22.83,129.18,0,1,0,0,0
295,2019-07-07,03:30:00,22.89,129.0,0,1,0,0,0
296,2019-07-07,04:00:00,23.03,128.95,0,1,0,0,0
297,2019-07-07,04:30:00,23.13,128.96,0,1,0,0,0
298,2019-07-07,05:00:00,23.09,128.98,0,1,0,0,0
299,2019-07-07,05:30:00,23.1,128.96,0,1,0,0,0
300,2019-07-07,06:00:00,22.86,128.94,0,1,0,0,0
301,2019-07-07,06:30:00,24.45,128.99,0,1,0,0,0
302,2019-07-07,07:00:00,24.24,129.18,0,1,0,0,0
303,2019-07-07,07:30:00,24.96,147.96,0,1,0,0,0
304,2019-07-07,08:00:00,25.94,127.75,0,1,0,0,0
305,2019-07-07,08:30:00,26.74,127.57,0,1,0,0,0
306,2019-07-07,09:00:00,27.34,128.25,0,1,0,0,0
307,2019-07-07,09:30:00,27.94,128.21,0,1,0,0,0
308,2019-07-07,10:00:00,28.44,127.56,0,1,0,0,0
309,2019-07-07,10:30:00,28.9,127.53,0,1,0,0,0
310,2019-07-07,11:00:00,29.29,127.34,0,1,0,0,0
311,2019-07-07,11:30:00,29.64,127.53,0,1,0,0,0
312,2019-07-07,12:00:00,29.9,127.51,0,1,0,0,0
313,2019-07-07,12:30:00,29.99,128.15,0,1,0,0,0
314,2019-07-07,13:00:00,30.04,128.13,0,1,0,0,0
315,2019-07-07,13:30:00,29.79,127.33,0,1,0,0,0
316,2019-07-07,14:00:00,29.67,127.66,0,1,0,0,0
317,2019-07-07,14:30:00,29.5,128.2,0,1,0,0,0
318,2019-07-07,15:00:00,29.24,193.09,0,1,0,0,0
319,2019-07-07,15:30:00,28.9,193.59,0,1,0,0,0
320,2019-07-07,16:00:00,28.66,193.09,0,1,0,0,0
321,2019-07-07,16:30:00,28.01,193.09,0,1,0,0,0
322,2019-07-07,17:00:00,27.6,129.14,0,1,0,0,0
323,2019-07-07,17:30:00,27.16,193.09,0,1,0,0,0
324,2019-07-07,18:00:00,26.63,195.36,0,1,0,0,0
325,2019-07-07,18:30:00,25.99,128.16,0,1,0,0,0
326,2019-07-07,19:00:00,25.33,128.18,0,1,0,0,0
327,2019-07-07,19:30:00,24.86,128.27,0,1,0,0,0
328,2019-07-07,20:00:00,24.57,128.5,0,1,0,0,0
329,2019-07-07,20:30:00,24.33,128.51,0,1,0,0,0
330,2019-07-07,21:00:00,24.1,192.31,0,1,0,0,0
331,2019-07-07,21:30:00,23.91,128.53,0,1,0,0,0
332,2019-07-07,22:00:00,23.79,128.53,0,1,0,0,0
333,2019-07-07,22:30:00,23.7,127.97,0,1,0,0,0
334,2019-07-07,23:00:00,23.61,128.7,0,1,0,0,0
335,2019-07-07,23:30:00,23.4,196.81,0,1,0,0,0
336,2019-07-08,00:00:00,23.19,192.31,0,1,0,0,0
337,2019-07-08,00:30:00,23.09,192.31,0,1,0,0,0
338,2019-07-08,01:00:00,23.06,192.31,0,1,0,0,0
339,2019-07-08,01:30:00,23.03,192.31,0,1,0,0,0
340,2019-07-08,02:00:00,22.91,192.31,0,1,0,0,0
341,2019-07-08,02:30:00,22.83,128.47,0,1,0,0,0
342,2019-07-08,03:00:00,22.79,128.52,0,1,0,0,0
343,2019-07-08,03:30:00,22.73,128.35,0,1,0,0,0
344,2019-07-08,04:00:00,22.56,128.21,0,1,0,0,0
345,2019-07-08,04:30:00,22.43,128.16,0,1,0,0,0
346,2019-07-08,05:00:00,22.41,128.06,0,1,0,0,0
347,2019-07-08,05:30:00,22.47,128.05,0,1,0,0,0
348,2019-07-08,06:00:00,22.87,128.05,0,1,0,0,0
349,2019-07-08,06:30:00,23.33,128.46,0,1,0,0,0
350,2019-07-08,07:00:00,23.94,127.5,0,1,0,0,0
351,2019-07-08,07:30:00,24.7,128.44,0,1,0,0,0
352,2019-07-08,08:00:00,25.23,128.09,0,1,0,0,0
353,2019-07-08,08:30:00,25.83,127.5,0,1,0,0,0
354,2019-07-08,09:00:00,26.51,127.92,0,1,0,0,0
355,2019-07-08,09:30:00,27.36,129.27,0,1,0,0,0
356,2019-07-08,10:00:00,27.84,87.63,0,1,0,0,0
357,2019-07-08,10:30:00,28.3,127.77,0,1,0,0,0
358,2019-07-08,11:00:00,28.8,127.98,0,1,0,0,0
359,2019-07-08,11:30:00,29.26,127.89,0,1,0,0,0
360,2019-07-08,12:00:00,29.56,198.47,0,1,0,0,0
361,2019-07-08,12:30:00,29.74,195.36,0,1,0,0,0
362,2019-07-08,13:00:00,29.79,197.35,0,1,0,0,0
363,2019-07-08,13:30:00,29.54,198.62,0,1,0,0,0
364,2019-07-08,14:00:00,29.59,199.28,0,1,0,0,0
365,2019-07-08,14:30:00,29.43,198.63,0,1,0,0,0
366,2019-07-08,15:00:00,29.39,199.6,0,1,0,0,0
367,2019-07-08,15:30:00,29.13,199.78,0,1,0,0,0
368,2019-07-08,16:00:00,28.74,200.07,0,1,0,0,0
369,2019-07-08,16:30:00,28.43,198.56,0,1,0,0,0
370,2019-07-08,17:00:00,28.04,200.05,0,1,0,0,0
371,2019-07-08,17:30:00,27.55,199.44,0,1,0,0,0
372,2019-07-08,18:00:00,26.99,198.66,0,1,0,0,0
373,2019-07-08,18:30:00,26.26,196.69,0,1,0,0,0
374,2019-07-08,19:00:00,25.64,194.64,0,1,0,0,0
375,2019-07-08,19:30:00,25.2,193.88,0,1,0,0,0
376,2019-07-08,20:00:00,24.84,197.65,0,1,0,0,0
377,2019-07-08,20:30:00,24.51,193.68,0,1,0,0,0
378,2019-07-08,21:00:00,24.23,197.56,0,1,0,0,0
379,2019-07-08,21:30:00,24.17,193.44,0,1,0,0,0
380,2019-07-08,22:00:00,24.17,197.41,0,1,0,0,0
381,2019-07-08,22:30:00,24.14,199.51,0,1,0,0,0
382,2019-07-08,23:00:00,24.1,192.31,0,1,0,0,0
383,2019-07-08,23:30:00,24.01,192.31,0,1,0,0,0
384,2019-07-09,00:00:00,23.96,192.31,0,1,0,0,0
385,2019-07-09,00:30:00,23.79,128.48,0,1,0,0,0
386,2019-07-09,01:00:00,23.66,192.31,0,1,0,0,0
387,2019-07-09,01:30:00,23.59,192.31,0,1,0,0,0
388,2019-07-09,02:00:00,23.47,192.31,0,1,0,0,0
389,2019-07-09,02:30:00,23.29,196.81,0,1,0,0,0
390,2019-07-09,03:00:00,23.16,196.81,0,1,0,0,0
391,2019-07-09,03:30:00,22.9,90.09,0,1,0,0,0
392,2019-07-09,04:00:00,22.83,192.31,0,1,0,0,0
393,2019-07-09,04:30:00,22.77,141.92,0,1,0,0,0
394,2019-07-09,05:00:00,22.77,197.2,0,1,0,0,0
